Category,Transactions,Avg_Full_Price,Abs_Elasticity,Elasticity_Label,Max_Recommended_Discount_Pct,Recommendation
JAM,3310,2.9,1303.51,Highly Elastic,25,Discount actively — high volume response
BLACK/BLUE,739,6.58,1154.641,Highly Elastic,25,Discount actively — high volume response
MEDIUM,580,2.3,480.53,Highly Elastic,25,Discount actively — high volume response
ZINC,4551,2.23,281.634,Highly Elastic,25,Discount actively — high volume response
BISCUIT,1029,4.92,234.896,Highly Elastic,25,Discount actively — high volume response
TRAVEL,3976,0.83,218.967,Highly Elastic,25,Discount actively — high volume response
SPOTTY,1544,5.72,180.163,Highly Elastic,25,Discount actively — high volume response
KEY,2979,1.36,178.02,Highly Elastic,25,Discount actively — high volume response
TREASURE,886,2.53,134.895,Highly Elastic,25,Discount actively — high volume response
COLOUR,2108,1.91,118.246,Highly Elastic,25,Discount actively — high volume response
EMBROIDERED,595,2.8,112.201,Highly Elastic,25,Discount actively — high volume response
GARDEN,865,2.42,96.13,Highly Elastic,25,Discount actively — high volume response
CAMOUFLAGE,623,2.89,95.757,Highly Elastic,25,Discount actively — high volume response
ABSTRACT,596,2.81,92.415,Highly Elastic,25,Discount actively — high volume response
REGENCY,6942,10.43,89.489,Highly Elastic,25,Discount actively — high volume response
FOOD,883,2.88,89.468,Highly Elastic,25,Discount actively — high volume response
ALPHABET,505,1.25,87.749,Highly Elastic,25,Discount actively — high volume response
CHRYSANTHEMUM,541,2.67,85.651,Highly Elastic,25,Discount actively — high volume response
5,580,4.92,83.014,Highly Elastic,25,Discount actively — high volume response
ALARM,5859,4.48,81.229,Highly Elastic,25,Discount actively — high volume response
FELTCRAFT,12482,3.29,78.774,Highly Elastic,25,Discount actively — high volume response
MAGIC,3777,0.66,77.844,Highly Elastic,25,Discount actively — high volume response
FLOWER,959,3.65,77.476,Highly Elastic,25,Discount actively — high volume response
DAISY,728,2.01,76.25,Highly Elastic,25,Discount actively — high volume response
PLASTERS,7423,1.84,74.681,Highly Elastic,25,Discount actively — high volume response
POPPY'S,2617,2.44,74.095,Highly Elastic,25,Discount actively — high volume response
KINGS,2115,3.18,72.788,Highly Elastic,25,Discount actively — high volume response
GIRLS,831,2.37,72.693,Highly Elastic,25,Discount actively — high volume response
TEATIME,514,6.1,71.003,Highly Elastic,25,Discount actively — high volume response
GAOLERS,502,3.99,70.45,Highly Elastic,25,Discount actively — high volume response
MEMO,1693,5.82,67.856,Highly Elastic,25,Discount actively — high volume response
BATHROOM,1882,1.31,66.424,Highly Elastic,25,Discount actively — high volume response
ASS,760,0.91,64.828,Highly Elastic,25,Discount actively — high volume response
RED/WHITE,943,6.97,64.532,Highly Elastic,25,Discount actively — high volume response
12,6979,1.56,64.069,Highly Elastic,25,Discount actively — high volume response
HAPPY,763,1.94,61.161,Highly Elastic,25,Discount actively — high volume response
BOYS,749,2.67,60.869,Highly Elastic,25,Discount actively — high volume response
CLASSIC,2082,5.65,60.633,Highly Elastic,25,Discount actively — high volume response
RIBBON,5546,2.12,59.657,Highly Elastic,25,Discount actively — high volume response
VINTAGE,20045,5.37,54.572,Highly Elastic,25,Discount actively — high volume response
SWALLOWS,716,0.47,54.117,Highly Elastic,25,Discount actively — high volume response
PACK,28447,0.92,50.371,Highly Elastic,25,Discount actively — high volume response
3D,1944,1.8,50.004,Highly Elastic,25,Discount actively — high volume response
TEA,7485,4.13,49.201,Highly Elastic,25,Discount actively — high volume response
PLACE,1015,0.53,49.067,Highly Elastic,25,Discount actively — high volume response
ROUND,5035,3.94,48.655,Highly Elastic,25,Discount actively — high volume response
GROW,1790,3.52,47.523,Highly Elastic,25,Discount actively — high volume response
ANGEL,957,0.63,46.757,Highly Elastic,25,Discount actively — high volume response
"HOOK,",1091,1.76,46.498,Highly Elastic,25,Discount actively — high volume response
BAKING,3812,4.87,46.099,Highly Elastic,25,Discount actively — high volume response
SET/5,2167,3.3,46.062,Highly Elastic,25,Discount actively — high volume response
PIGGY,630,3.06,45.277,Highly Elastic,25,Discount actively — high volume response
CREAM,5719,7.65,45.264,Highly Elastic,25,Discount actively — high volume response
VICTORIAN,4511,5.54,43.886,Highly Elastic,25,Discount actively — high volume response
LUNCH,24187,2.09,43.571,Highly Elastic,25,Discount actively — high volume response
SET/20,3443,1.06,43.435,Highly Elastic,25,Discount actively — high volume response
SET,51931,3.28,41.821,Highly Elastic,25,Discount actively — high volume response
